ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId
Calculate the probability of combined events,Probability,B,"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. Two marbles are drawn from the bag without replacement. What is the probability that both marbles are red?
",\( \frac{20}{90} \),\( \frac{10}{90} \),\( \frac{20}{100} \),\( \frac{10}{100} \),1575.0,,,
Solve linear equations with the variable on one side,Linear Equations,A,"Solve the equation:
\[
3x = 15
\]",\( x = 5 \),\( x = 45 \),\( x = 3 \),\( x = 12 \),,1576.0,,
Divide a fraction by an integer,Dividing Fractions,C,Calculate \(\frac{3}{4} \div 2\).,\(\frac{3}{2}\),\(\frac{3}{6}\),\(\frac{3}{8}\),\(\frac{1}{2}\),,1578.0,,
Perform calculations using standard form,Standard Form,A,"Simplify the following expression and write your answer in standard form:
\[
(4 \times 10^3) + (7 \times 10^2)
\]",\( 4.7 \times 10^3 \),\( 47 \times 10^2 \),\( 4700 \),\( 4.7 \times 10^2 \),,1579.0,,
Construct a Cumulative Frequency Diagram,Cumulative Frequency,B,"The table below shows the number of hours spent on homework by a group of students in a week. Construct a cumulative frequency diagram for this data. Which of the following statements is correct about the horizontal axis?

\begin{tabular}{|c|c|}
\hline Hours (h) & Frequency \\
\hline 0-5 & 10 \\
\hline 6-10 & 15 \\
\hline 11-15 & 20 \\
\hline 16-20 & 12 \\
\hline 21-25 & 8 \\
\hline
\end{tabular}
",The horizontal axis should show the frequency.,The horizontal axis should show the upper class boundaries.,The horizontal axis should show the lower class boundaries.,The horizontal axis should show the midpoints of the class intervals.,1580.0,,,
Identify the correct side view of a 3D shape,3D Shapes and Views,A,"Which of the following is the correct side view of the 3D shape shown below? ![A 3D shape with a specific orientation, such as a rectangular prism with a smaller rectangular prism on top of it.]
",![A side view that matches the correct orientation of the 3D shape],![A side view that is a mirror image of the correct orientation],![A side view that is rotated 90 degrees from the correct orientation],![A side view that is a different shape altogether],,1581.0,,
Identify the coordinates of a point on a grid,Naming Co-ordinates in 2D,A,"What are the coordinates of point A on the grid below? ![A coordinate grid with a point A marked at (3, -2). The origin (0,0) is clearly marked, and the axes are labeled.]()","\( (3, -2) \)","\( (3, 2) \)","\( (-3, -2) \)","\( (0, -2) \)",,1583.0,,
Reflect a Point in a Horizontal Line,Reflection,B,"A point, \( P \), has coordinates \( (3, 7) \). The point is reflected in the line \( y = 4 \). What are the new coordinates of point \( P \)?","\( (3, 4) \)","\( (3, 1) \)","\( (4, 7) \)","\( (3, -3) \)",1584.0,,,
Identify the correct division on a number line,Number Line and Division,A,"On a number line, the distance between 0 and 10 is divided into 5 equal parts. If a point is placed at the third division, what number does it represent?",6,5,7,8,,1587.0,,
Basic Operations with Whole Numbers,Division and Subtraction,A,Calculate the following: \( 20 \div 5 \),\( 4 \),\( 15 \),\( 25 \),\( 100 \),,1589.0,,
Calculate the number of different possible arrangements,Counting and Probability,C,A teacher has 4 different books to arrange on a shelf. How many different ways can the teacher arrange these books?,4,16,24,8,1592.0,,,
Calculate the frequency from a pie chart sector,Pie Charts,B,A pie chart shows the favorite sports of 120 students. The sector for basketball is 90 degrees. How many students chose basketball as their favorite sport?,90,30,120,40,1594.0,,,
Interpret sloping linear sections of a displacement-time graph,Real Life Graphs,C,A car's journey is represented by the following graph. What does the flat (horizontal) section of the graph represent?,The car is accelerating.,The car is moving at a constant speed.,The car is stationary.,The car is decelerating.,,1603.0,,
Identify the gradient of a line perpendicular to a given line,Perpendicular Lines,B,The gradient of a line is \( 3 \). What is the gradient of a line that is perpendicular to it?,\( -3 \),\( -\frac{1}{3} \),\( \frac{1}{3} \),\( 3 \),1607.0,,,
Identify the correct region for a linear inequality,Linear Inequalities,A,"Consider the inequality \( y > 2x - 3 \). The graph below shows the line \( y = 2x - 3 \). Which region should be shaded to represent the solution to the inequality?

![A coordinate plane with the line y = 2x - 3 drawn. The line passes through the points (0, -3) and (1.5, 0).]
",The region above the line,The region below the line,The region to the left of the line,The region to the right of the line,,1612.0,,
Understand and use the symbol for proportionality,Proportional Relationships,A,"Two quantities, \( x \) and \( y \), are directly proportional to each other. If \( x = 12 \) when \( y = 3 \), what is the relationship between \( x \) and \( y \) using the symbol for proportionality?
",\( x \propto y \),\( x = y \),\( x \propto 4y \),\( x = 4y \),,1615.0,,
Graphing Reciprocal Equations,Graphing Functions,C,Consider the equation \( y = \frac{1}{x} \). Which of the following best describes the graph of this equation?,A straight line,A parabola,A hyperbola,A circle,1617.0,,,
Evaluate expressions involving zero as a base,Exponents and Powers,A,Evaluate the expression \( 0^3 \).,\( 0 \),\( 1 \),\( 3 \),The expression is undefined,,,,1620.0
Identify the nth term rule for a linear sequence,Linear Sequences (nth term),A,"What is the nth term rule for the sequence: 3, 7, 11, 15, 19, ...?",\( 4n - 1 \),\( 4n + 3 \),\( 3n + 4 \),\( 4n - 3 \),,,1625.0,
Combine Ratios,Ratio and Proportion,A,"A recipe for a cake requires a ratio of 2 parts flour to 1 part sugar. Another recipe for a different cake requires a ratio of 3 parts flour to 2 parts sugar. If you want to combine these two recipes to make a new cake, what is the correct combined ratio of flour to sugar?
",5 parts flour to 3 parts sugar,6 parts flour to 3 parts sugar,5 parts flour to 2 parts sugar,6 parts flour to 2 parts sugar,,,1627.0,
Convert remainders from division problems into decimals,Written Division,B,"John has been asked to work out the answer to:
\[
147 \div 5
\]
He gets the answer \( 29 \) remainder \( 2 \)
What is the exact value of that remainder as a decimal?",\( 0.2 \),\( 0.4 \),\( 2 \),\( 0.25 \),1629.0,,,
Mental Multiplication with Multiples of 10,Mental Multiplication,A,Calculate \( 7 \times 40 \).,\( 280 \),\( 28 \),\( 350 \),\( 35 \),,1634.0,,
Prime Factorization,Factors and Multiples,A,What is the prime factorization of 100?,\( 2 \times 2 \times 5 \times 5 \),\( 2 \times 5 \times 10 \),\( 2 \times 2 \times 5 \),\( 2 \times 5 \times 5 \times 2 \),,1638.0,,
Calculate the final amount after a percentage increase over 100%,Percentages and Proportional Reasoning,D,"A store is having a special sale where the price of a product is increased by 150%. If the original price of the product is $40, what is the new price after the increase?",$100,$60,$140,$160,,,1643.0,
Read and Interpret Large Numbers,Number Sense and Numeration,A,"What is the correct way to read the number 2,345,678?","Two million, three hundred forty-five thousand, six hundred seventy-eight","Two, three, four, five, six, seven, eight","Twenty-three thousand, four hundred fifty-six, seven hundred eighty","Two million, three hundred forty-five, six hundred seventy-eight",,1647.0,,
Convert recurring decimals to fractions,Recurring Decimals and Fractions,B,Convert the recurring decimal \( 0.\overline{12} \) to a fraction.,\( \frac{12}{9} \),\( \frac{12}{99} \),\( \frac{4}{33} \),\( \frac{1}{8} \),1649.0,,,
Convert time from hours and minutes to total minutes,Time,A,Sarah's movie starts at 2:45 PM and ends at 4:15 PM. How many minutes long is the movie?,90 minutes,135 minutes,120 minutes,150 minutes,,,1650.0,
Adjust Proportions for Different Sample Sizes in Stratified Sampling,Stratified Sampling,B,"A school has 1,200 students. The school is divided into three strata: freshmen, sophomores, and juniors. The number of students in each stratum is as follows: 400 freshmen, 500 sophomores, and 300 juniors. A survey is to be conducted, and a sample of 120 students is to be selected using stratified sampling. How many sophomores should be included in the sample?
",50,60,40,30,1653.0,,,
Reflect a function in the y-axis,Transformations of Functions,B,"The graph of \( y = f(x) \) is shown below. Which graph represents \( y = f(-x) \)?

![Graph of y = f(x) with a curve that starts at (-3, 0), goes up to (0, 3), and then down to (3, 0).]
",A graph that is the same as the original but reflected in the line y = -x.,A graph that is the same as the original but reflected in the y-axis.,A graph that is the same as the original but reflected in the x-axis.,A graph that is the same as the original but shifted to the right by 3 units.,1654.0,,,
Identify the y-intercept of a linear equation,Linear Equations and Graphs,C,What is the y-intercept of the line represented by the equation \( y = 3x + 7 \)?,"\( (0, 3) \)","\( (7, 0) \)","\( (0, 7) \)","\( (3, 0) \)",,1662.0,,
Understand the effect of scaling frequencies on statistical measures,Statistics and Data Handling,A,"A teacher has recorded the number of books read by students in a class over a month. The data is shown in the table below:

| Number of Books | Frequency |
|-----------------|-----------|
| 1               | 5         |
| 2               | 10        |
| 3               | 15        |
| 4               | 10        |
| 5               | 5         |

The teacher then decides to double the frequency of each number of books read to account for a larger class. What is the new median number of books read?
",3,6,4,5,,1665.0,,
Apply the associative property of multiplication,Multiplication and Properties of Operations,A,"Calculate the value of \( (2 \times 3) \times 4 \).
",\( 24 \),\( 14 \),\( 10 \),\( 32 \),,1679.0,,
Interpret grouped data in a frequency table,Frequency Tables and Grouped Data,C,"The following frequency table shows the heights (in cm) of 50 students in a class. 

| Height (cm) | Frequency |
|-------------|-----------|
| 150-155     | 10        |
| 156-160     | 15        |
| 161-165     | 12        |
| 166-170     | 8         |
| 171-175     | 5         |

If a student is chosen at random, what is the probability that their height is 160 cm or less?
",\( \frac{25}{50} \),\( \frac{10}{50} \),\( \frac{20}{50} \),\( \frac{15}{50} \),1681.0,,,
Calculate the length of the hypotenuse in a right-angled triangle,Pythagorean Theorem,B,"In a right-angled triangle, the lengths of the two shorter sides are 3 cm and 4 cm. What is the length of the hypotenuse?",7 cm,5 cm,12 cm,1 cm,1683.0,,,
Measure and Interpret Scales,Reading Scales,A,"A student is using a ruler to measure the length of a pencil. The ruler has marks every 1 cm, and the pencil extends from the 3 cm mark to the 8 cm mark. What is the length of the pencil?
",5 cm,4 cm,6 cm,7 cm,,1684.0,,
Calculate the area of a sector of a circle,Area of Sectors,C,A circle has a radius of 10 cm. A sector of this circle has an angle of 60 degrees. What is the area of this sector?,"\( 50 \pi \, \text{cm}^2 \)","\( 50 \, \text{cm}^2 \)","\( 52.36 \, \text{cm}^2 \)","\( 100 \pi \, \text{cm}^2 \)",,1685.0,,
Identify the shape corresponding to a linear graph,Graphs and 3D Shapes,A,A graph shows a straight line with a constant rate of increase. Which of the following 3D shapes could this line represent in a real-world context?,A hexagonal prism,A cone,A cylinder,A sphere,,1688.0,,
Identify the Lowest Common Multiple (LCM) of a set of numbers,Factors and Multiples,C,"What is the lowest common multiple (LCM) of the numbers 12, 18, and 24?",24,36,72,144,1689.0,,,
Form expressions from worded problems,Algebraic Expressions,A,"A school is organizing a field trip. The total cost of the trip is $300. If each student contributes $15, how many students are going on the trip?",20 students,15 students,30 students,10 students,,1692.0,,
Calculate the height of an equilateral triangle,Properties of Triangles,C,An equilateral triangle has a side length of 10 cm. What is the height of the triangle?,10 cm,5 cm,8.66 cm,17.32 cm,1698.0,,,
Calculate the size of an angle in a circle,Angles in a Circle,B,A circle is divided into 3 equal sectors. What is the size of each angle at the center of the circle?,\( 60^{\circ} \),\( 120^{\circ} \),\( 180^{\circ} \),\( 240^{\circ} \),1699.0,,,
Simplify algebraic expressions,Algebraic Expressions,A,Simplify the expression \( 3x + 5y - 2x + 4y \).,\( x + 9y \),\( 5x + 9y \),\( x + y \),\( 1x + 1y \),,1700.0,,
Identify factor pairs of a number,Factors and Multiples,C,Which of the following is a correct factor pair of 24?,\( 3 \) and \( 8 \),\( 4.5 \) and \( 5.33 \),\( 6 \) and \( 4 \),\( 2 \) and \( 12 \),,1709.0,,
Identify the parts of a fraction,Fractions,A,What is the name of the top number in the fraction \(\frac{7}{12}\)?,Numerator,Denominator,Quotient,Divisor,,1711.0,,
Calculate the surface area of a compound shape,Surface Area of 3D Shapes,B,"A compound shape is made up of a rectangular prism and a triangular prism, as shown in the diagram. The rectangular prism has dimensions 5 cm by 3 cm by 2 cm, and the triangular prism has a base of 3 cm, a height of 2 cm, and a length of 5 cm. The triangular prism is attached to the top of the rectangular prism, with the 3 cm side of the triangular base aligned with the 3 cm side of the rectangular prism. What is the total surface area of the compound shape?

![Diagram of the compound shape with labeled dimensions]
",\( 74 \mathrm{~cm}^{2} \),\( 86 \mathrm{~cm}^{2} \),\( 92 \mathrm{~cm}^{2} \),\( 104 \mathrm{~cm}^{2} \),,,,1712.0
Understand Inverse Functions,Functions and Inverses,B,"Given the function \( f(x) = 3x + 2 \), what is the inverse function \( f^{-1}(x) \)?",\( f^{-1}(x) = -3x - 2 \),\( f^{-1}(x) = \frac{x - 2}{3} \),\( f^{-1}(x) = \frac{x + 2}{3} \),\( f^{-1}(x) = 3x - 2 \),1713.0,,,
Identify properties of a rhombus,Properties of Quadrilaterals,B,Which of the following statements is true about a rhombus?,A rhombus has one pair of equal sides.,A rhombus has all four sides equal.,A rhombus has two pairs of parallel sides.,A rhombus has four right angles.,1719.0,,,
